Color: 13.0126, Freq: 116.4898
Color: 13.9699, Freq: 119.0255
Color: 14.4996, Freq: 120.6864
Color: 4.3228, Freq: 81.0439
Color: 15.0041, Freq: 122.4423
Color: 4.4614, Freq: 80.4668
Color: 4.3849, Freq: 79.9337
Color: 15.4659, Freq: 122.6750
Color: 15.8377, Freq: 123.2074
Color: 16.3803, Freq: 124.7306
Color: 4.5013, Freq: 82.3767
Color: 16.8383, Freq: 125.4875
Color: 4.4164, Freq: 77.1336
Color: 17.0026, Freq: 126.2366
Color: 4.4257, Freq: 77.6570
Color: 17.1807, Freq: 125.9970
Color: 4.4745, Freq: 83.7352
Color: 17.3013, Freq: 126.6961
Color: 4.4249, Freq: 77.2702
Color: 17.4902, Freq: 126.3094
Color: 1.4815, Freq: 70.4517
Color: 17.7358, Freq: 126.3499
Color: 17.5270, Freq: 125.3631
Color: 17.5476, Freq: 124.7258
Color: 4.1450, Freq: 84.8210
Color: 17.4945, Freq: 123.5289
Color: 17.7322, Freq: 122.6357
Color: 17.9928, Freq: 123.3947
Color: 17.8859, Freq: 122.1730
Color: 28.8679, Freq: 128.8985
Color: 17.6622, Freq: 121.3832
Color: 17.1092, Freq: 120.8863
Color: 17.0808, Freq: 119.6828
Color: 16.9613, Freq: 120.5035
Color: 16.9965, Freq: 120.3267
Color: 17.1639, Freq: 121.6147
Color: 4.0799, Freq: 83.4377
Color: 17.2969, Freq: 122.8630
Color: 4.0403, Freq: 82.5579
Color: 17.1261, Freq: 124.1636
Color: 17.0051, Freq: 122.7867
Color: 16.9344, Freq: 122.8522
Color: 17.0832, Freq: 124.2796
Color: 16.9225, Freq: 121.5927
Color: 3.9918, Freq: 78.6738
Color: 17.0294, Freq: 122.1501
Color: 4.0806, Freq: 81.6491
Color: 16.9203, Freq: 123.1091
Color: 3.8168, Freq: 78.6573
Color: 16.8052, Freq: 122.5845
Color: 3.7644, Freq: 76.5373
Color: 16.9647, Freq: 121.6064
Color: 3.8994, Freq: 82.4519
Color: 17.2676, Freq: 121.0645
Color: 4.0115, Freq: 82.8773
Color: 17.1236, Freq: 116.2595
Color: 4.0223, Freq: 83.6493
Color: 17.9681, Freq: 115.7439
Color: 18.3546, Freq: 116.7190
Color: 17.7805, Freq: 111.9279
Color: 18.8086, Freq: 117.4657
Color: 19.9917, Freq: 117.8325
Color: 19.0862, Freq: 114.4809
Color: 18.3364, Freq: 116.3235
Color: 18.0487, Freq: 122.2042
Color: 18.2642, Freq: 124.1113
Color: 18.7855, Freq: 125.6985
Color: 18.4333, Freq: 125.2658
Color: 18.0444, Freq: 124.3717
Color: 17.5561, Freq: 124.3764
Color: 17.5680, Freq: 125.5421
Color: 17.8685, Freq: 126.4305
Color: 17.9506, Freq: 126.5719
Color: 18.2638, Freq: 126.3387
Color: 17.5901, Freq: 119.3145
Color: 17.5258, Freq: 117.6625
Color: 18.5020, Freq: 117.3978
Color: 18.0346, Freq: 115.9047
Color: 18.2856, Freq: 117.3689
Color: 18.3371, Freq: 118.2089
Color: 3.6744, Freq: 77.4943
Color: 18.2308, Freq: 118.9677
Color: 1.5641, Freq: 76.7138
Color: 17.9510, Freq: 119.0763
Color: 3.7739, Freq: 77.7218
Color: 17.9273, Freq: 119.5244
Color: 18.0459, Freq: 121.1668
Color: 17.8237, Freq: 121.2063
Color: 18.1306, Freq: 122.4252
Color: 3.9033, Freq: 81.0374
Color: 17.8599, Freq: 116.5753
Color: 3.7305, Freq: 78.8712
Color: 6.3174, Freq: 65.9864
Color: 3.7735, Freq: 78.6071
Color: 3.8636, Freq: 76.2486
Color: 3.9669, Freq: 78.1818
Color: 3.9391, Freq: 78.2548
Color: 16.2454, Freq: 111.7814
Color: 17.2084, Freq: 119.1142
Color: 17.0246, Freq: 121.7946
Color: 4.0455, Freq: 81.4005
Color: 17.7008, Freq: 122.3600
Color: 3.9684, Freq: 81.8821
Color: 16.5750, Freq: 120.1746
Color: 4.0320, Freq: 81.2215
Color: 17.2234, Freq: 123.2065
Color: 16.5629, Freq: 120.5396
Color: 4.1320, Freq: 83.2407
Color: 16.6438, Freq: 121.3579
Color: 16.7213, Freq: 121.2725
Color: 16.6503, Freq: 123.0303
Color: 16.6148, Freq: 121.5001
Color: 16.3263, Freq: 121.7644
Color: 4.0081, Freq: 83.3631
Color: 16.0844, Freq: 119.5732
Color: 4.0275, Freq: 82.1086
Color: 16.0777, Freq: 122.0103
Color: 16.1630, Freq: 119.9968
Color: 4.1023, Freq: 82.4181
Color: 16.7648, Freq: 122.2949
Color: 17.2984, Freq: 121.9920
Color: 18.2453, Freq: 124.4574
Color: 18.5423, Freq: 124.4177
Color: 18.3977, Freq: 120.3410
Color: 18.4457, Freq: 119.9790
Color: 18.3175, Freq: 121.2209
Color: 18.1890, Freq: 121.3193
Color: 18.5445, Freq: 123.3954
Color: 18.7440, Freq: 125.6236
Color: 4.2711, Freq: 83.3820
Color: 18.5451, Freq: 123.4572
Color: 18.6951, Freq: 125.0706
Color: 18.2827, Freq: 122.1827
Color: 4.2246, Freq: 82.9778
Color: 18.8262, Freq: 122.7068
Color: 18.5418, Freq: 120.4615
Color: 18.1723, Freq: 119.7610
Color: 4.2003, Freq: 82.9446
Color: 18.1196, Freq: 123.2000
Color: 4.0622, Freq: 81.0956
Color: 17.7833, Freq: 123.8449
Color: 3.9279, Freq: 81.5159
Color: 17.8321, Freq: 122.2785
Color: 3.8257, Freq: 82.4896
Color: 17.9307, Freq: 123.8105
Color: 3.7243, Freq: 79.5600
Color: 17.7608, Freq: 120.9919
Color: 3.7571, Freq: 83.2172
Color: 17.9517, Freq: 122.8825
Color: 3.7165, Freq: 79.7828
Color: 18.0057, Freq: 120.0047
Color: 3.7927, Freq: 82.8674
Color: 18.0823, Freq: 118.2090
Color: 18.4766, Freq: 120.3103
Color: 18.8419, Freq: 120.1915
Color: 18.9631, Freq: 120.7972
Color: 19.3000, Freq: 121.5650
Color: 20.0019, Freq: 123.3829
Color: 18.8906, Freq: 119.8496
Color: 19.1363, Freq: 123.2023
Color: 18.7701, Freq: 124.3193
Color: 18.9472, Freq: 126.4582
Color: 18.4525, Freq: 126.5963
Color: 18.5653, Freq: 126.7088
Color: 4.4524, Freq: 84.2679
Color: 18.5034, Freq: 125.1699
Color: 4.4817, Freq: 84.0010
Color: 1.8186, Freq: 83.7029
Color: 27.9174, Freq: 125.8949
Color: 4.4564, Freq: 84.0658
Color: 19.2126, Freq: 124.2700
Color: 4.3955, Freq: 81.0610
Color: 19.0508, Freq: 122.3932
Color: 19.3727, Freq: 122.2606
Color: 19.7564, Freq: 123.9298
Color: 19.6391, Freq: 123.4671
Color: 19.8113, Freq: 123.3292
Color: 19.8641, Freq: 123.8200
Color: 19.8785, Freq: 124.0112
Color: 19.7035, Freq: 123.5553
Color: 19.5856, Freq: 124.8243
Color: 19.2814, Freq: 123.9484
Color: 18.7958, Freq: 125.4625
Color: 18.5202, Freq: 126.0207
Color: 18.2785, Freq: 125.5473
Color: 4.3937, Freq: 81.3277
Color: 18.5999, Freq: 125.1269
Color: 18.5989, Freq: 125.4950
Color: 18.3987, Freq: 126.1001
Color: 1.7643, Freq: 95.4956
Color: 27.7895, Freq: 128.4258
Color: 18.2682, Freq: 126.2000
Color: 19.1611, Freq: 82.8762
Color: 18.3676, Freq: 126.2406
Color: 19.0292, Freq: 84.0790
Color: 18.5437, Freq: 126.5312
Color: 19.0611, Freq: 85.7678
Color: 18.0067, Freq: 125.5954
Color: 19.6455, Freq: 86.9035
Color: 17.6125, Freq: 125.7690
Color: 19.8000, Freq: 88.6645
Color: 1.5679, Freq: 88.4178
Color: 27.6775, Freq: 127.7884
Color: 19.8609, Freq: 88.5795
Color: 17.5969, Freq: 126.5120
Color: 20.5357, Freq: 88.7042
Color: 17.4548, Freq: 125.8104
Color: 20.6544, Freq: 88.0182
Color: 4.3496, Freq: 82.2533
Color: 17.5694, Freq: 126.5937
Color: 20.4188, Freq: 86.6069
Color: 4.2976, Freq: 80.6181
Color: 17.4775, Freq: 125.6560
Color: 28.5676, Freq: 118.7330
Color: 20.5650, Freq: 85.7565
Color: 4.2824, Freq: 80.7177
Color: 17.5998, Freq: 126.4839
Color: 20.9476, Freq: 85.5789
Color: 4.2063, Freq: 81.7809
Color: 17.4225, Freq: 127.4864
Color: 26.5659, Freq: 121.6715
Color: 20.4982, Freq: 85.8323
Color: 17.6133, Freq: 127.6976
Color: 25.3453, Freq: 120.9194
Color: 18.3440, Freq: 86.8071
Color: 17.6982, Freq: 127.6612
Color: 25.4201, Freq: 121.4361
Color: 22.2276, Freq: 91.4491
Color: 17.3498, Freq: 126.1973
Color: 25.2445, Freq: 119.9437
Color: 21.4611, Freq: 90.5618
Color: 4.0015, Freq: 79.6755
Color: 1.4931, Freq: 85.9747
Color: 27.6505, Freq: 127.2338
Color: 25.5823, Freq: 119.1018
Color: 22.3302, Freq: 92.4403
Color: 4.0453, Freq: 78.1953
Color: 16.7844, Freq: 124.7309
Color: 25.9617, Freq: 118.1007
Color: 21.9855, Freq: 92.1747
Color: 16.5102, Freq: 123.7751
Color: 26.5344, Freq: 119.1049
Color: 22.2590, Freq: 94.9398
Color: 16.5895, Freq: 124.6780
Color: 25.9322, Freq: 117.8461
Color: 22.4699, Freq: 94.3455
Color: 4.1112, Freq: 77.7949
Color: 16.4296, Freq: 124.5214
Color: 25.7140, Freq: 116.1529
Color: 23.0806, Freq: 93.6438
Color: 4.1463, Freq: 80.3721
Color: 16.4987, Freq: 125.4912
Color: 26.1152, Freq: 117.6370
Color: 21.9975, Freq: 92.7008
Color: 16.3551, Freq: 125.4997
Color: 22.3360, Freq: 89.8078
Color: 16.5338, Freq: 126.4909
Color: 22.5803, Freq: 90.0274
Color: 16.5279, Freq: 127.3153
Color: 22.2218, Freq: 88.2552
Color: 16.7294, Freq: 127.2567
Color: 23.1329, Freq: 90.4538
Color: 16.4763, Freq: 126.9253
Color: 23.1050, Freq: 92.7615
Color: 16.3824, Freq: 126.9018
Color: 23.7532, Freq: 94.2701
Color: 16.3554, Freq: 126.5359
Color: 23.7699, Freq: 93.9829
Color: 16.3555, Freq: 126.6897
Color: 23.3586, Freq: 92.1883
Color: 16.2066, Freq: 126.4464
Color: 23.0916, Freq: 92.3490
Color: 3.7876, Freq: 84.4886
Color: 16.1683, Freq: 126.8793
Color: 22.4402, Freq: 92.1415
Color: 16.1539, Freq: 126.5235
Color: 22.4593, Freq: 93.5998
Color: 3.8148, Freq: 83.1377
Color: 16.2380, Freq: 126.0180
Color: 21.9916, Freq: 91.5331
Color: 16.2108, Freq: 126.1156
Color: 21.0384, Freq: 91.2046
Color: 16.1561, Freq: 125.9499
